Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,Kuwait,45524,350,36313,8861,Kuwait,1065.99528,0.768825235
,Kyrgyzstan,5296,57,2370,2869,Kyrgyzstan,81.17481539,1.076283988
,Laos,19,0,19,0,Laos,0.261148426,0
,Latvia,1117,30,932,155,Latvia,59.21953216,2.685765443
,Lebanon,1745,34,1170,541,Lebanon,25.56610986,1.948424069
,Lesotho,27,0,4,23,Lesotho,1.260355925,0
,Liberia,770,36,312,422,Liberia,15.22438068,4.675324675
,Libya,802,23,206,573,Libya,11.67175814,2.867830424
,Liechtenstein,82,1,81,0,Liechtenstein,215.0142906,1.219512195
,Lithuania,1816,78,1512,226,Lithuania,66.70851867,4.295154185
,Luxembourg,4256,110,3997,149,Luxembourg,679.8982709,2.584586466
,MS Zaandam,9,2,0,7,MS Zaandam,,22.22222222
,Madagascar,2138,20,966,1152,Madagascar,7.720914857,0.935453695
,Malawi,1152,13,260,879,Malawi,6.02196921,1.128472222
,Malaysia,8637,121,8334,182,Malaysia,26.68541227,1.400949404
,Maldives,2337,8,1927,402,Maldives,432.3438327,0.342319213
,Mali,2173,115,1447,611,Mali,10.73042226,5.292222734
,Malta,670,9,639,22,Malta,151.7419752,1.343283582
,Mauritania,4237,128,1497,2612,Mauritania,91.12494247,3.021005428
,Mauritius,341,10,326,5,Mauritius,26.81308762,2.93255132
,Moldova,16357,536,9229,6592,Moldova,405.4821524,3.276884514
,Monaco,103,4,95,4,Monaco,262.4605035,3.883495146
,Mongolia,220,0,175,45,Mongolia,6.710811606,0
,Montenegro,501,11,315,175,Montenegro,79.76919476,2.195608782
,Morocco,12290,225,8833,3232,Morocco,33.29670605,1.830756713
,Mozambique,883,6,229,648,Mozambique,2.825108657,0.679501699
,Namibia,196,0,24,172,Namibia,7.713753623,0
,Nepal,13248,29,3134,10085,Nepal,45.46826131,0.218900966
